NO,title,description,lat,lng
1,日曜寺,大和町４２,35.75806769,139.703944
2,縁切榎,本町１８,35.75967371,139.7077548
3,稲荷台遺跡,稲荷台２３,35.76189133,139.7100611
4,板橋,本町２８,35.75730551,139.7088878
5,中宿脇本陣跡,仲宿５４,35.75581887,139.7084236
6,板橋宿本陣跡,仲宿４７,35.75513807,139.7093008
7,旧板橋町役場跡地,仲宿４４仲宿ふれあい公園,35.75390292,139.7099283
8,平尾宿名主屋敷跡,板橋３－１５,35.75099884,139.7131779
9,東光寺,板橋４－１３,35.7500245,139.7151206
10,加賀公園,加賀１－８,35.7529511,139.7198242
11,圧磨機圧輪記念碑,加賀１－１０加賀西公園,35.75345154,139.7161125
12,東上線記念碑,板橋２－４,35.74604641,139.7139635
13,空襲犠牲者供養の地蔵,大山金井町１６,35.74468948,139.7068236
14,西光院,南町３１,35.74092096,139.7017102
15,新田坂,成増２－３３,35.77927893,139.6268514
16,氷川神社,赤塚４－２２,35.78544829,139.6400443
17,大門遺跡,大門１,35.78151448,139.6492519
18,旧赤塚村役場跡地,赤塚8-3松月院壇信徒会館,35.78016009,139.6474293
19,大堂,赤塚６－４０,35.77930127,139.6468566
20,増福寺,赤塚７－１４,35.77638245,139.6489366
21,徳丸東遺跡,徳丸６－３３,35.77868918,139.6597009
22,成増との山遺跡,成増３－３３,35.78130512,139.6310569
23,赤塚諏訪神社のこぶケヤキ,赤塚８－５,35.7820285,139.648169
24,旧粕谷家（東の隠居）住宅,徳丸７－１１,35.78026829,139.6592805
25,徳丸ヶ原,高島平８－２４,35.79180834,139.6608807
26,早瀬の渡し,新河岸３－９新河岸公園,35.79581728,139.6496895
27,御嶽神社,桜川１－４,35.75739658,139.6745404
28,茂呂遺跡,小茂根５－１７,35.75432756,139.6757979
29,旧上板橋村役場跡地,東新町２－３６桜川老人いこいの家,35.75389393,139.6804062
30,氷川神社,東新町２－１６,35.7547146,139.6826705
31,平安地蔵,南常盤台２－１１,35.75789682,139.6855729
32,下頭橋と六蔵祠,弥生町５２,35.75549735,139.6914482
33,西光寺,大谷口２－８,35.74608723,139.6884996
34,根ノ上遺跡,小茂根１－６,35.74581975,139.6808914
35,京徳観音堂,西台３－５３,35.77718846,139.6674191
36,中台馬場崎貝塚,若木３－４若木三丁目貝塚公園,35.77415165,139.6768544
37,旧志村役場跡地,志村２－１９東京都聴覚障害者支援センター,35.77522923,139.6879807
38,富士大山道道標,志村２－７,35.77706385,139.6927173
39,薬師の泉庭園,小豆沢３－７,35.7784899,139.6929362
40,小豆沢神社,小豆沢４－１６,35.78020707,139.6991312
41,龍福寺,小豆沢４－１６,35.78037686,139.6994213
42,小豆沢貝塚,小豆沢４－５,35.77857686,139.6994101
43,前野田向遺跡第２地点,前野町３－５３,35.7704218,139.6965675
44,南蔵院,蓮沼町４８,35.77070251,139.7017113
45,西台遺跡,西台２－７西台福寿公園,35.77803448,139.6678587
46,稲荷神社,宮本町５４,35.76444633,139.7023102
47,中台畠中遺跡,中台２－４３,35.77368356,139.6826241
48,延命寺,志村１－２１,35.77488149,139.6924943
49,志村一里塚,志村１－１２・小豆沢２－１６,35.77502807,139.695895
50,熊野神社,志村２－１６,35.77605351,139.6870269
51,智清寺,大和町４２,35.75869115,139.7050674
52,文殊院,仲宿２８,35.75600188,139.7097929
53,諏訪神社,大門１１,35.78464251,139.6484417
54,乗蓮寺,赤塚５－２８,35.78187051,139.6442341
55,安養院,東新町２－３０,35.75424658,139.6798388
56,圓福寺,西台３－３２,35.77485148,139.6696392
57,常楽院,前野町４－２０,35.77133894,139.6906971
58,松月院,赤塚８－４,35.78118588,139.647822
59,遍照寺,仲宿４０,35.75278617,139.7106153
60,観明寺,板橋３－２５,35.75077578,139.7137144
61,泉福寺,赤塚６－３９,35.77907327,139.6458168
62,長徳寺,大原町４０,35.7696699,139.6971062
63,子易神社,板橋２－１９,35.74789038,139.7091123
64,稲荷神社,若木１－１３,35.76866985,139.6760329
